Ano;CulivadoresMotorizados;TratoresdeRodas;TratoresdeEsteiras;Colheitadeiras;ColhedorasCana;Retro;Total
2000;722;24.591;592;3.780;-;1.377;31.062
2001;856;28.203;496;4.098;-;1.870;35.523
2002;1.050;33.217;551;5.648;-;2.102;42.568
2003;1.585;29.476;449;5.440;-;1.045;37.995
2004;1.682;28.803;526;5.605;-;1.174;37.790
2005;2.141;17.729;408;1.534;-;1.410;23.222
2006;1.857;20.435;300;1.030;-;2.050;25.672
2007;1.548;31.300;437;2.377;-;2.675;38.337
2008;1.852;43.414;720;4.458;-;4.028;54.472
2009;1.759;45.437;618;3.817;-;3.681;55.312
2010;1.807;56.420;878;4.549;-;4.871;68.525
2011;1.307;52.296;1.022;5.343;-;5.355;65.323
2012;1.348;55.819;1.062;6.278;-;5.632;70.139
2013;1.618;65.089;942;8.539;1.406;6.804;84.398
2014;1.553;55.612;835;6.448;982;4.161;69.591
2015;1.059;37.381;380;3.917;713;2.258;45.708
2016;747;35.956;302;4.498;910;1.288;43.701
2017;-;35.622;291;4.537;721;1.220;42.391
2018;-;38.803;466;5.759;643;2.060;47.731
2019;-;33.148;553;5.580;645;3.929;43.855
2020;-;35.369;943;5.614;772;4.465;47.163